id_transaccion,id_cliente,id_producto,fecha_venta,unidades,importe,descuento,almacen,promocion
7001057,105407,2677,17/05/2024,1,24.16,0.0,1,primavera_2024
7001058,112618,2311,31/03/2024,3,15.11,0.0,1,primavera_2024
7001059,114888,2036,05/04/2024,4,14.73,0.0,2,primavera_2024
7001060,110237,2872,11/04/2024,2,23.92,0.0,3,primavera_2024
7001061,106246,2008,30/04/2024,2,9.09,0.0,2,primavera_2024
7001062,110778,3000,06/04/2024,2,3.29,0.0,1,primavera_2024
7001063,108604,2299,12/04/2024,1,1.73,10.0,4,primavera_2024
7001064,103098,2180,08/04/2024,1,11.12,0.0,1,primavera_2024
7001065,102406,3025,12/05/2024,1,22.62,15.0,4,primavera_2024
7001066,109086,2961,24/05/2024,2,4.48,0.0,3,primavera_2024
7001067,103427,2373,21/05/2024,3,13.34,0.0,1,primavera_2024
7001068,103909,2103,14/04/2024,4,17.14,0.0,4,primavera_2024
7001069,111033,2961,31/03/2024,3,4.48,0.0,3,primavera_2024
7001070,110619,2136,09/05/2024,1,17.82,0.0,2,primavera_2024
7001071,101581,2157,24/03/2024,5,4.56,0.0,4,primavera_2024
7001072,100851,2219,18/04/2024,2,20.27,5.0,3,primavera_2024
7001073,113379,2279,20/04/2024,1,17.13,0.0,5,primavera_2024
7001074,115003,2368,07/05/2024,2,18.14,0.0,1,primavera_2024
7001075,106438,2280,18/04/2024,2,10.24,5.0,3,primavera_2024
7001076,111465,3742,24/04/2024,1,13.6,10.0,2,primavera_2024
7001077,100233,2071,09/04/2024,1,11.92,5.0,5,primavera_2024
7001078,113599,2313,23/04/2024,4,1.26,10.0,2,primavera_2024
7001079,112074,2231,29/04/2024,2,17.87,10.0,1,primavera_2024
7001080,108758,2296,02/04/2024,2,2.28,0.0,4,primavera_2024
7001081,107799,2363,02/05/2024,1,8.05,5.0,3,primavera_2024
7001082,113204,2151,22/04/2024,5,15.34,0.0,4,primavera_2024
7001083,113626,2227,20/04/2024,1,10.17,0.0,4,primavera_2024
7001084,114998,2256,19/04/2024,1,22.67,0.0,2,primavera_2024
7001085,103015,2324,15/04/2024,1,10.46,0.0,5,primavera_2024
7001086,112768,2322,01/05/2024,4,3.85,0.0,1,primavera_2024
7001087,105687,2021,23/04/2024,2,14.21,5.0,1,primavera_2024
7001088,104382,2156,29/04/2024,1,10.91,10.0,2,primavera_2024
7001089,113358,2078,19/03/2024,2,14.98,20.0,2,primavera_2024
7001090,114036,2921,03/05/2024,1,0.88,0.0,1,primavera_2024
7001091,100479,3647,18/05/2024,1,9.01,20.0,2,primavera_2024
7001092,101404,2190,11/05/2024,1,22.62,0.0,1,primavera_2024
7001093,105461,2282,19/05/2024,2,5.39,0.0,1,primavera_2024
7001094,114722,2304,04/05/2024,1,10.3,0.0,1,primavera_2024
7001095,106922,2308,27/04/2024,4,15.34,5.0,3,primavera_2024
7001096,105794,2289,26/04/2024,5,19.3,0.0,2,primavera_2024
7001097,101774,2267,03/05/2024,3,3.76,0.0,4,primavera_2024
7001098,103561,3219,08/04/2024,1,10.07,10.0,2,primavera_2024
7001099,107002,2305,10/04/2024,1,19.22,10.0,2,primavera_2024
7001100,104187,3226,21/03/2024,2,8.5,0.0,2,primavera_2024
7001101,107406,2115,10/04/2024,4,5.85,0.0,4,primavera_2024
7001102,101249,2021,09/04/2024,1,14.21,0.0,5,primavera_2024
7001103,113760,2070,24/03/2024,5,5.16,0.0,4,primavera_2024
7001104,104667,2009,29/04/2024,1,14.23,10.0,2,primavera_2024
7001105,110371,2023,18/05/2024,5,4.64,10.0,2,primavera_2024
7001106,113208,2258,11/05/2024,3,8.3,0.0,4,primavera_2024
7001107,112124,3161,27/04/2024,1,13.16,10.0,5,primavera_2024
7001108,114525,2291,05/04/2024,2,6.63,10.0,1,primavera_2024
7001109,100713,2111,18/04/2024,1,7.44,0.0,1,primavera_2024
7001110,107659,3022,24/03/2024,1,17.63,5.0,4,primavera_2024
7001111,104722,2310,20/04/2024,2,20.48,10.0,3,primavera_2024
7001112,114676,2305,08/04/2024,1,19.22,5.0,1,primavera_2024
7001113,101741,2223,18/03/2024,2,8.84,0.0,1,primavera_2024
7001114,114403,2021,01/05/2024,1,14.21,5.0,2,primavera_2024
7001115,107398,2071,28/04/2024,1,11.92,10.0,2,primavera_2024
7001116,104840,2002,03/04/2024,3,4.87,15.0,2,primavera_2024
7001117,107716,2188,22/04/2024,1,20.89,0.0,3,primavera_2024
7001118,111203,2064,30/03/2024,1,14.86,5.0,3,primavera_2024
7001119,111188,2172,13/04/2024,1,7.42,10.0,1,primavera_2024
7001120,103663,2035,18/05/2024,2,2.94,0.0,1,primavera_2024
7001121,112345,2271,23/05/2024,1,21.61,10.0,2,primavera_2024
7001122,102770,2170,17/04/2024,1,11.68,10.0,3,primavera_2024
7001123,114233,2024,07/04/2024,4,6.74,20.0,4,primavera_2024
7001124,100936,2011,15/04/2024,3,15.76,0.0,2,primavera_2024
7001125,111445,2213,26/03/2024,1,22.25,0.0,2,primavera_2024
7001126,110450,2322,06/05/2024,2,3.85,15.0,4,primavera_2024
7001127,101436,2071,21/05/2024,1,11.92,5.0,2,primavera_2024
7001128,104759,2310,22/05/2024,2,20.48,5.0,2,primavera_2024
7001129,108328,3133,09/04/2024,2,21.55,20.0,2,primavera_2024
7001130,100512,2314,06/04/2024,1,10.61,5.0,1,primavera_2024
7001131,109777,3366,18/05/2024,4,23.16,0.0,1,primavera_2024
7001132,113050,2131,13/04/2024,1,19.28,5.0,1,primavera_2024
7001133,113346,2023,28/04/2024,2,4.64,5.0,1,primavera_2024
7001134,101360,2039,01/05/2024,1,1.91,15.0,2,primavera_2024
7001135,105854,2312,20/04/2024,1,4.67,0.0,1,primavera_2024
7001136,105567,2206,21/04/2024,2,3.72,0.0,2,primavera_2024
7001137,111243,2198,03/04/2024,2,23.67,0.0,1,primavera_2024
7001138,115245,2227,05/04/2024,1,10.17,5.0,1,primavera_2024
7001139,114492,2158,04/05/2024,4,11.97,0.0,3,primavera_2024
7001140,106935,2329,28/04/2024,1,21.34,0.0,3,primavera_2024
7001141,102003,2243,05/04/2024,1,9.41,0.0,1,primavera_2024
7001142,114198,2335,19/04/2024,2,10.42,0.0,1,primavera_2024
7001143,100564,2298,20/05/2024,1,13.11,0.0,1,primavera_2024
7001144,111533,2361,09/04/2024,3,24.06,0.0,3,primavera_2024
7001145,103402,2137,26/04/2024,1,11.88,5.0,2,primavera_2024
7001146,112188,2196,25/05/2024,1,12.04,10.0,4,primavera_2024
7001147,108614,2229,09/05/2024,1,13.54,0.0,3,primavera_2024
7001148,107700,2027,15/05/2024,3,9.77,0.0,2,primavera_2024
7001149,107280,2218,24/03/2024,2,5.98,5.0,1,primavera_2024
7001150,109248,2867,29/03/2024,2,8.89,0.0,1,primavera_2024
7001151,101622,2433,07/05/2024,1,5.83,15.0,1,primavera_2024
7001152,110020,2296,17/04/2024,2,2.28,15.0,2,primavera_2024
7001153,106582,2001,25/04/2024,3,8.98,0.0,5,primavera_2024
7001154,104687,2268,30/04/2024,4,15.97,0.0,2,primavera_2024
7001155,102231,2029,19/04/2024,3,11.07,15.0,1,primavera_2024
7001156,110602,3187,10/04/2024,5,22.01,5.0,1,primavera_2024
7001157,110897,3181,05/05/2024,1,18.49,0.0,1,primavera_2024
7001158,105400,2319,12/04/2024,3,7.54,5.0,1,primavera_2024
7001159,110873,2003,26/05/2024,1,11.34,0.0,3,primavera_2024
7001160,112593,2175,03/05/2024,3,9.95,0.0,2,primavera_2024
7001161,106194,2740,24/05/2024,3,20.63,10.0,2,primavera_2024
7001162,110626,2004,10/04/2024,1,15.33,5.0,2,primavera_2024
7001163,108110,2193,01/04/2024,3,20.19,0.0,1,primavera_2024
7001164,112629,3685,10/04/2024,1,4.53,0.0,1,primavera_2024
7001165,101598,2018,24/03/2024,5,4.12,10.0,1,primavera_2024
7001166,103517,2528,18/04/2024,4,24.32,5.0,2,primavera_2024
7001167,113446,2057,02/04/2024,4,13.89,5.0,2,primavera_2024
7001168,108718,2354,02/04/2024,1,10.62,0.0,1,primavera_2024
7001169,106620,2050,07/05/2024,4,1.68,10.0,1,primavera_2024
7001170,109059,2238,13/04/2024,1,20.0,15.0,2,primavera_2024
7001171,111602,3605,18/04/2024,3,14.7,5.0,1,primavera_2024
7001172,102733,3022,29/03/2024,2,17.63,10.0,2,primavera_2024
7001173,111622,2218,21/04/2024,2,5.98,0.0,3,primavera_2024
7001174,103591,2148,29/04/2024,2,14.55,0.0,1,primavera_2024
7001175,109303,2004,19/03/2024,1,15.33,5.0,1,primavera_2024
7001176,103228,2048,21/04/2024,4,1.58,20.0,3,primavera_2024
7001177,106291,2017,27/04/2024,1,9.17,0.0,2,primavera_2024
7001178,100756,2188,26/04/2024,3,20.89,5.0,3,primavera_2024
7001179,108404,2302,08/04/2024,3,14.78,0.0,2,primavera_2024
7001180,104744,3544,19/04/2024,1,17.68,10.0,1,primavera_2024
7001181,102650,2138,30/04/2024,1,7.32,5.0,1,primavera_2024
7001182,110837,2280,02/05/2024,1,10.24,10.0,4,primavera_2024
7001183,108239,2334,29/04/2024,2,6.9,0.0,1,primavera_2024
7001184,104746,2462,18/05/2024,5,5.99,0.0,1,primavera_2024
7001185,104150,2216,10/04/2024,1,16.91,15.0,3,primavera_2024
7001186,112135,2286,25/04/2024,1,11.94,5.0,1,primavera_2024
7001187,101492,2049,26/04/2024,2,4.13,20.0,1,primavera_2024
7001188,104046,2318,20/05/2024,1,17.76,0.0,2,primavera_2024
7001189,106923,2073,25/04/2024,3,1.47,15.0,3,primavera_2024
7001190,104193,2615,30/03/2024,1,15.85,15.0,4,primavera_2024
7001191,110649,2042,27/04/2024,4,4.67,0.0,4,primavera_2024
7001192,111150,2014,21/05/2024,2,15.01,0.0,4,primavera_2024
7001193,106046,2062,16/05/2024,3,7.41,10.0,2,primavera_2024
7001194,109311,2348,02/05/2024,3,24.46,0.0,2,primavera_2024
7001195,114676,2228,28/04/2024,1,19.21,0.0,2,primavera_2024
7001196,112912,2704,23/03/2024,1,1.14,0.0,1,primavera_2024
7001197,101072,3772,28/03/2024,1,23.95,0.0,1,primavera_2024
7001198,113133,2134,23/03/2024,1,20.0,0.0,2,primavera_2024
7001199,101130,3022,25/04/2024,3,17.63,10.0,1,primavera_2024
7001200,109739,2076,21/03/2024,1,9.51,5.0,1,primavera_2024
7001201,114272,2032,04/04/2024,4,4.65,0.0,1,primavera_2024
7001202,113495,2631,19/03/2024,2,23.98,5.0,1,primavera_2024
7001203,102574,3585,10/05/2024,2,12.22,0.0,4,primavera_2024
7001204,103988,2149,13/05/2024,4,3.29,5.0,1,primavera_2024
7001205,113684,3410,18/05/2024,5,18.19,0.0,1,primavera_2024
7001206,101396,2299,30/03/2024,1,1.73,10.0,5,primavera_2024
7001207,113781,2024,23/04/2024,1,6.74,0.0,4,primavera_2024
7001208,102084,2179,20/05/2024,1,21.86,10.0,2,primavera_2024
7001209,112503,2488,15/04/2024,1,10.01,0.0,1,primavera_2024
7001210,102466,2365,20/04/2024,3,0.89,5.0,1,primavera_2024
7001211,103921,2240,06/05/2024,1,11.83,0.0,4,primavera_2024
7001212,100111,2329,08/05/2024,1,21.34,0.0,5,primavera_2024
7001213,111739,2352,27/04/2024,3,6.23,15.0,4,primavera_2024
7001214,107435,2243,31/03/2024,2,9.41,0.0,2,primavera_2024
7001215,110936,2252,13/05/2024,2,8.07,0.0,3,primavera_2024
7001216,102885,2286,22/04/2024,3,11.94,5.0,1,primavera_2024
7001217,103958,2116,25/04/2024,2,11.67,0.0,3,primavera_2024
7001218,102579,2310,14/05/2024,1,20.48,5.0,2,primavera_2024
7001219,114145,3193,19/03/2024,2,14.73,15.0,3,primavera_2024
7001220,105265,2362,22/04/2024,2,10.21,0.0,2,primavera_2024
7001221,103460,2310,30/03/2024,1,20.48,0.0,5,primavera_2024
7001222,108288,2117,22/04/2024,2,15.5,0.0,2,primavera_2024
7001223,109906,2318,05/05/2024,1,17.76,0.0,3,primavera_2024
7001224,105193,2401,13/04/2024,1,19.86,20.0,2,primavera_2024
7001225,109865,2161,14/04/2024,1,19.19,10.0,2,primavera_2024
7001226,114282,2147,05/04/2024,2,24.36,15.0,1,primavera_2024
7001227,104047,2224,06/04/2024,3,22.13,0.0,1,primavera_2024
7001228,113358,2281,27/04/2024,1,22.87,0.0,3,primavera_2024
7001229,112145,2374,04/05/2024,1,2.43,0.0,1,primavera_2024
7001230,113626,3297,12/04/2024,2,21.27,15.0,1,primavera_2024
7001231,101021,3682,25/05/2024,2,18.39,5.0,2,primavera_2024
7001232,113121,2033,25/03/2024,2,8.41,5.0,3,primavera_2024
7001233,101583,2199,20/04/2024,1,11.6,0.0,2,primavera_2024
7001234,109690,3745,12/05/2024,1,8.77,0.0,2,primavera_2024
7001235,112793,2243,15/04/2024,1,9.41,0.0,1,primavera_2024
7001236,101301,2342,04/05/2024,1,14.18,5.0,5,primavera_2024
7001237,100019,2235,10/04/2024,1,6.28,0.0,3,primavera_2024
7001238,103146,2348,27/03/2024,3,24.46,0.0,2,primavera_2024
7001239,114543,2147,05/04/2024,1,24.36,0.0,1,primavera_2024
7001240,111127,2214,05/04/2024,1,8.15,5.0,4,primavera_2024
7001241,102480,2021,16/04/2024,1,14.21,0.0,1,primavera_2024
7001242,109648,2046,17/04/2024,1,10.6,0.0,4,primavera_2024
7001243,104626,2350,06/04/2024,2,15.56,15.0,1,primavera_2024
7001244,107391,2037,01/04/2024,1,0.89,5.0,1,primavera_2024
7001245,102912,2184,30/03/2024,2,2.3,0.0,2,primavera_2024
7001246,108024,2280,21/05/2024,1,10.24,0.0,3,primavera_2024
7001247,108017,2355,12/04/2024,3,14.11,10.0,1,primavera_2024
7001248,109687,2089,19/05/2024,3,2.98,5.0,4,primavera_2024
7001249,105729,2080,19/05/2024,1,10.53,0.0,3,primavera_2024
7001250,114438,2035,24/03/2024,1,2.94,10.0,1,primavera_2024
7001251,112492,2054,04/04/2024,1,9.46,15.0,4,primavera_2024
7001252,109524,2114,11/04/2024,1,6.47,5.0,2,primavera_2024
7001253,106820,2315,06/05/2024,2,13.2,5.0,2,primavera_2024
7001254,111260,2196,15/05/2024,1,12.04,0.0,3,primavera_2024
7001255,103607,2202,03/05/2024,1,1.97,5.0,1,primavera_2024
7001256,111040,2028,01/05/2024,2,15.93,0.0,2,primavera_2024
7001257,105168,2022,08/04/2024,2,4.67,20.0,1,primavera_2024
7001258,105750,2112,19/04/2024,2,5.99,5.0,3,primavera_2024
7001259,103901,3330,17/03/2024,1,14.4,10.0,4,primavera_2024
7001260,107523,2126,22/04/2024,1,2.55,5.0,3,primavera_2024
7001261,104800,2025,11/04/2024,3,8.44,0.0,2,primavera_2024
7001262,101700,2278,11/05/2024,3,1.34,10.0,3,primavera_2024
7001263,105580,2260,28/04/2024,1,22.68,10.0,5,primavera_2024
7001264,105419,2588,29/05/2024,2,3.11,10.0,2,primavera_2024
7001265,109720,2050,11/04/2024,2,1.68,10.0,3,primavera_2024
7001266,109137,2214,10/05/2024,1,8.15,20.0,5,primavera_2024
7001267,103847,2109,25/03/2024,2,10.44,0.0,2,primavera_2024
7001268,104905,2248,22/05/2024,1,24.99,0.0,3,primavera_2024
7001269,103319,2326,24/04/2024,1,22.86,20.0,2,primavera_2024
7001270,101242,2066,14/05/2024,3,14.49,5.0,4,primavera_2024
7001271,101394,2250,27/05/2024,3,20.86,5.0,1,primavera_2024
7001272,109010,2106,06/05/2024,4,9.41,10.0,1,primavera_2024
7001273,107790,2043,08/04/2024,3,15.44,0.0,2,primavera_2024
7001274,108641,2928,19/04/2024,5,18.56,15.0,2,primavera_2024
7001275,108001,2107,27/04/2024,2,12.91,0.0,2,primavera_2024
7001276,112144,2047,22/04/2024,2,8.56,5.0,2,primavera_2024
7001277,101651,2045,01/05/2024,2,5.39,0.0,5,primavera_2024
7001278,107885,2080,05/04/2024,1,10.53,15.0,3,primavera_2024
7001279,111042,2135,20/04/2024,3,0.8,0.0,1,primavera_2024
7001280,110815,2363,28/03/2024,1,8.05,0.0,1,primavera_2024
7001281,110691,2178,09/05/2024,4,16.41,0.0,4,primavera_2024
7001282,105449,2210,21/05/2024,2,2.29,0.0,2,primavera_2024
7001283,115120,2203,02/05/2024,2,1.73,5.0,1,primavera_2024
7001284,104810,2066,18/05/2024,5,14.49,15.0,2,primavera_2024
7001285,106512,2212,09/04/2024,2,21.38,5.0,2,primavera_2024
7001286,100851,2303,16/05/2024,1,21.25,5.0,2,primavera_2024
7001287,104491,2206,17/04/2024,2,3.72,5.0,1,primavera_2024
7001288,114650,2084,29/03/2024,1,4.98,0.0,5,primavera_2024
7001289,112568,3574,08/04/2024,1,13.89,20.0,5,primavera_2024
7001290,104908,2179,19/05/2024,1,21.86,0.0,2,primavera_2024
7001291,111794,2048,06/05/2024,1,1.58,0.0,5,primavera_2024
7001292,103164,2044,04/04/2024,3,12.22,0.0,1,primavera_2024
7001293,114854,2979,03/05/2024,3,3.25,0.0,3,primavera_2024
7001294,100352,2280,08/05/2024,2,10.24,10.0,1,primavera_2024
7001295,115219,2234,20/05/2024,4,2.36,0.0,2,primavera_2024
7001296,110817,2025,05/05/2024,2,8.44,10.0,1,primavera_2024
7001297,106049,2152,05/04/2024,2,21.56,0.0,2,primavera_2024
7001298,100964,3692,17/05/2024,1,23.35,10.0,2,primavera_2024
7001299,103935,2106,15/04/2024,1,9.41,0.0,2,primavera_2024
7001300,106544,2098,27/04/2024,2,24.35,15.0,3,primavera_2024
7001301,100582,3706,25/03/2024,2,18.8,0.0,1,primavera_2024
7001302,109842,2252,28/03/2024,3,8.07,0.0,1,primavera_2024
7001303,115073,2228,01/05/2024,2,19.21,5.0,1,primavera_2024
7001304,100551,2217,03/05/2024,1,24.22,0.0,1,primavera_2024
7001305,111709,2221,16/05/2024,1,23.07,10.0,4,primavera_2024
7001306,106059,2262,20/03/2024,1,3.21,0.0,5,primavera_2024
7001307,112338,2233,26/04/2024,1,13.33,0.0,1,primavera_2024
7001308,104154,2021,18/03/2024,2,14.21,0.0,2,primavera_2024
7001309,114851,2189,23/04/2024,4,15.7,15.0,2,primavera_2024
7001310,103326,2314,15/04/2024,1,10.61,0.0,1,primavera_2024
7001311,112747,2214,15/04/2024,1,8.15,0.0,5,primavera_2024
7001312,105507,2260,26/04/2024,2,22.68,20.0,3,primavera_2024
7001313,103808,2236,23/04/2024,1,11.86,0.0,5,primavera_2024
7001314,104886,2310,29/03/2024,1,20.48,0.0,5,primavera_2024
7001315,114995,3671,19/04/2024,3,17.62,0.0,2,primavera_2024
7001316,100629,2178,04/05/2024,1,16.41,5.0,5,primavera_2024
7001317,103908,2222,02/04/2024,2,18.64,5.0,1,primavera_2024
7001318,104422,2205,03/05/2024,1,21.52,0.0,4,primavera_2024
7001319,103577,2078,06/05/2024,1,14.98,0.0,2,primavera_2024
7001320,109830,2131,12/05/2024,1,19.28,5.0,2,primavera_2024
7001321,101707,2064,22/05/2024,2,14.86,10.0,4,primavera_2024
7001322,108256,2087,08/04/2024,3,5.2,0.0,3,primavera_2024
7001323,103289,3474,10/05/2024,1,4.37,0.0,3,primavera_2024
7001324,111230,2411,09/04/2024,1,10.02,0.0,1,primavera_2024
7001325,102649,2023,27/03/2024,1,4.64,0.0,2,primavera_2024
7001326,111676,2238,24/04/2024,2,20.0,5.0,3,primavera_2024
7001327,111257,2352,20/04/2024,2,6.23,5.0,3,primavera_2024
7001328,100634,2236,28/03/2024,1,11.86,5.0,1,primavera_2024
7001329,100547,2238,04/04/2024,3,20.0,0.0,5,primavera_2024
7001330,100313,2233,24/04/2024,1,13.33,0.0,2,primavera_2024
7001331,111993,2058,19/04/2024,1,15.75,0.0,1,primavera_2024
7001332,112935,3235,29/03/2024,1,23.38,5.0,3,primavera_2024
7001333,115058,2148,13/04/2024,3,14.55,5.0,1,primavera_2024
7001334,112016,2014,23/04/2024,1,15.01,5.0,2,primavera_2024
7001335,102794,2107,23/05/2024,2,12.91,15.0,1,primavera_2024
7001336,113014,2094,12/04/2024,2,3.08,0.0,4,primavera_2024
7001337,114330,2112,24/05/2024,1,5.99,0.0,2,primavera_2024
7001338,103862,2348,03/04/2024,2,24.46,5.0,1,primavera_2024
7001339,102799,2170,17/04/2024,1,11.68,0.0,1,primavera_2024
7001340,110899,2136,28/03/2024,1,17.82,0.0,2,primavera_2024
7001341,109568,2137,13/04/2024,2,11.88,10.0,4,primavera_2024
7001342,111444,2167,05/05/2024,1,3.46,10.0,1,primavera_2024
7001343,105950,2776,01/05/2024,1,6.02,20.0,1,primavera_2024
7001344,110224,2125,13/05/2024,3,21.08,0.0,2,primavera_2024
7001345,111168,3843,29/03/2024,1,22.27,5.0,1,primavera_2024
7001346,106753,2346,24/04/2024,3,9.69,10.0,5,primavera_2024
7001347,111050,2031,02/05/2024,3,7.29,0.0,1,primavera_2024
7001348,114540,2012,06/04/2024,1,6.44,0.0,3,primavera_2024
7001349,102188,2206,24/04/2024,2,3.72,0.0,2,primavera_2024
7001350,111552,2356,26/04/2024,2,10.49,5.0,4,primavera_2024
7001351,102058,2344,30/03/2024,2,23.39,5.0,3,primavera_2024
7001352,105747,2345,06/05/2024,1,19.25,0.0,1,primavera_2024
7001353,109930,2219,20/04/2024,4,20.27,0.0,2,primavera_2024
7001354,108163,2140,03/05/2024,4,22.06,5.0,1,primavera_2024
7001355,104467,2280,07/05/2024,2,10.24,0.0,5,primavera_2024
7001356,104228,2304,31/03/2024,4,10.3,10.0,4,primavera_2024
7001357,108597,2201,11/05/2024,1,5.81,10.0,3,primavera_2024
7001358,111927,2157,18/04/2024,3,4.56,0.0,1,primavera_2024
7001359,108120,3367,30/04/2024,1,13.56,0.0,3,primavera_2024
7001360,103551,2220,15/05/2024,1,15.41,0.0,2,primavera_2024
7001361,103010,2273,31/03/2024,3,9.49,0.0,3,primavera_2024
7001362,106853,2129,20/03/2024,2,19.63,0.0,4,primavera_2024
7001363,106993,2363,04/04/2024,1,8.05,0.0,1,primavera_2024
7001364,107850,2152,12/04/2024,2,21.56,15.0,3,primavera_2024
7001365,113974,2282,21/04/2024,1,5.39,15.0,1,primavera_2024
7001366,114633,2122,24/05/2024,1,21.48,15.0,2,primavera_2024
7001367,112965,2278,09/04/2024,1,1.34,15.0,2,primavera_2024
7001368,108321,2336,25/03/2024,2,16.14,0.0,2,primavera_2024
7001369,104759,2096,01/04/2024,3,20.94,5.0,1,primavera_2024
7001370,103737,2039,15/04/2024,1,1.91,0.0,1,primavera_2024
7001371,103156,2864,09/05/2024,1,7.52,5.0,2,primavera_2024
7001372,101769,2249,18/05/2024,2,16.71,0.0,3,primavera_2024
7001373,113917,3100,08/04/2024,3,22.49,20.0,3,primavera_2024
7001374,104403,2239,12/05/2024,1,1.88,5.0,1,primavera_2024
7001375,112101,3300,20/04/2024,2,7.41,15.0,1,primavera_2024
7001376,113651,3670,19/05/2024,1,24.0,0.0,2,primavera_2024
7001377,102459,2219,16/05/2024,1,20.27,0.0,1,primavera_2024
7001378,102535,2761,15/05/2024,2,6.43,0.0,2,primavera_2024
7001379,103675,2006,15/04/2024,1,4.66,5.0,1,primavera_2024
7001380,111137,2213,08/05/2024,3,22.25,15.0,3,primavera_2024
7001381,107380,2019,22/04/2024,1,6.77,10.0,1,primavera_2024
7001382,113139,2023,01/04/2024,2,4.64,20.0,1,primavera_2024
7001383,104050,2089,21/04/2024,4,2.98,5.0,1,primavera_2024
7001384,110464,2930,14/04/2024,1,12.4,10.0,3,primavera_2024
7001385,102892,2271,27/04/2024,1,21.61,15.0,1,primavera_2024
7001386,108452,3699,19/05/2024,4,24.58,0.0,4,primavera_2024
