pedido_id,cliente_id,tienda_id,fecha_pedido,estado,total_bruto,total_descuentos,total_neto,metodo_pago,codigo_postal_envio,hora_entrega
5000024,110695.0,1,2024-07-13 12:53:20,entregado,12.13,2.43,9.7,tarjeta,08036,2024-07-13 15:13:47
5000025,102545.0,4,2024-05-17 14:15:13,entregado,29.51,0.0,29.51,tarjeta,41011,2024-05-17 17:44:35
5000026,109967.0,1,2024-07-07 20:12:58,entregado,32.97,1.65,31.32,tarjeta,08007,2024-07-07 23:20:40
5000027,112320.0,2,2024-07-12 18:49:18,cancelado,76.84,7.68,69.16,bizum,28006,
5000028,114648.0,2,2024-07-04 09:58:11,entregado,34.68,3.47,31.21,tarjeta,28009,2024-07-04 12:51:15
5000029,108835.0,5,2024-07-04 18:50:35,entregado,13.06,0.65,12.41,tarjeta,48009,2024-07-04 20:44:05
5000030,115074.0,2,2024-06-27 19:47:06,entregado,19.13,0.0,19.13,tarjeta,28008,2024-06-27 22:46:58
5000031,100957.0,2,2024-07-02 18:41:59,entregado,53.95,0.0,53.95,transferencia,28004,2024-07-02 20:32:07
5000032,103596.0,1,2024-05-10 10:34:26,entregado,151.94,0.0,151.94,tarjeta,08008,2024-05-10 13:10:07
5000033,111999.0,4,2024-06-25 18:04:17,entregado,45.29,0.0,45.29,tarjeta,41004,2024-06-25 20:30:51
5000034,112513.0,1,30/06/2024 11:10,entregado,68.73,13.75,54.98,bizum,08029,2024-06-30 14:37:07
5000035,104439.0,1,2024-08-02 17:25:44,entregado,101.44,0.0,101.44,bizum,08005,2024-08-02 19:25:33
5000036,104065.0,2,2024-07-01 13:53:35,entregado,18.68,0.93,17.75,bizum,28012,2024-07-01 17:13:49
5000037,109681.0,2,2024-08-15 09:03:23,entregado,54.23,0.0,54.23,tarjeta,28005,2024-08-15 11:07:33
5000038,112743.0,2,2024-08-29 14:31:27,entregado,20.84,0.0,20.84,bizum,28016,2024-08-29 16:31:42
5000039,109903.0,1,2024-06-29 12:49:28,entregado,33.37,0.0,33.37,bizum,08024,2024-06-29 14:17:52
5000040,109319.0,2,2024-08-27 09:25:10,entregado,32.44,0.0,32.44,efectivo_entrega,28008,2024-08-27 12:51:00
5000041,103026.0,4,2024-06-02 16:05:34,entregado,28.96,4.34,24.62,transferencia,41015,2024-06-02 17:56:33
5000042,104897.0,2,2024-07-25 09:22:06,entregado,51.64,5.16,46.48,BIZUM,28014,2024-07-25 10:43:30
5000043,104864.0,5,2024-08-05 19:36:58,entregado,37.65,7.53,30.12,bizum,48005,2024-08-05 22:12:26
5000044,114467.0,1,2024-05-25 12:39:13,entregado,95.37,14.31,81.06,paypal,08010,2024-05-25 15:42:39
5000045,113544.0,4,2024-08-09 11:24:36,entregado,63.42,6.34,57.08,tarjeta,41009,2024-08-09 13:33:41
5000046,,1,2024-07-07 18:14:30,entregado,23.05,3.46,19.59,tarjeta,08011,2024-07-07 20:09:09
5000047,115175.0,4,2024-06-26 15:28:42,entregado,48.95,0.0,48.95,transferencia,41006,2024-06-26 17:52:05
5000048,103920.0,2,2024-07-29 19:33:22,entregado,32.34,0.0,32.34,tarjeta,28036,2024-07-29 22:41:36
5000049,107204.0,2,2024-06-10 11:05:31,entregado,12.58,1.89,10.69,tarjeta,28028,2024-06-10 13:08:53
5000050,115175.0,2,2024-06-29 17:07:44,devuelto,46.05,0.0,46.05,bizum,28001,
5000051,,1,2024-06-09 11:13:23,entregado,22.4,0.0,22.4,efectivo_entrega,08004,2024-06-09 12:13:39
5000052,111515.0,1,2024-07-14 20:28:40,entregado,62.1,6.21,55.89,tarjeta,08012,2024-07-14 22:01:58
5000053,113199.0,2,2024-07-19 10:05:23,entregado,30.91,1.55,29.36,transferencia,28005,2024-07-19 12:25:59
5000054,102860.0,2,2024-05-15 11:50:33,entregado,40.07,6.01,34.06,bizum,28020,2024-05-15 15:01:41
5000055,108840.0,2,11/07/2024 11:56,entregado,57.44,8.62,48.82,efectivo_entrega,28015,2024-07-11 14:31:04
5000056,110468.0,1,2024-06-08 18:24:04,cancelado,21.36,1.07,20.29,mastercard,08034,
5000057,106903.0,4,2024-05-29 11:34:29,entregado,52.71,7.91,44.8,paypal,41018,2024-05-29 12:55:57
5000058,107213.0,1,2024-08-02 11:09:01,entregado,10.0,0.0,10.0,bizum,08008,2024-08-02 12:10:15
5000059,112906.0,1,2024-06-22 18:25:53,en_preparacion,35.82,0.0,35.82,tarjeta,08019,
5000060,106072.0,1,2024-05-19 17:18:19,entregado,29.33,0.0,29.33,tarjeta,08034,2024-05-19 18:29:56
5000061,114068.0,4,2024-07-08 17:04:16,entregado,49.27,9.85,39.42,tarjeta,41018,2024-07-08 18:45:50
5000062,109408.0,3,2024-05-10 11:19:49,entregado,43.1,0.0,43.1,tarjeta,46022,2024-05-10 14:23:41
5000063,100806.0,3,2024-06-30 19:59:31,entregado,22.79,1.14,21.65,Tarjeta,46023,2024-06-30 22:11:07
5000064,109271.0,4,2024-08-04 10:50:26,entregado,22.8,0.0,22.8,paypal,41006,2024-08-04 12:44:26
5000065,105023.0,2,2024-06-09 20:21:01,entregado,39.82,1.99,37.83,efectivo_entrega,28036,2024-06-09 21:34:56
5000066,114844.0,1,2024-06-03 10:37:43,entregado,11.33,1.7,9.63,bizum,08001,2024-06-03 12:44:56
5000067,112584.0,2,2024-05-28 16:19:00,cancelado,29.33,0.0,29.33,tarjeta,28045,
5000068,108964.0,4,2024-08-12 20:29:11,entregado,33.36,0.0,33.36,tarjeta,41002,2024-08-12 23:10:36
5000069,112172.0,2,2024-07-10 10:02:10,entregado,27.49,1.37,26.12,bizum,28042,2024-07-10 13:06:32
5000070,108467.0,3,2024-07-21 18:18:11,entregado,104.31,5.22,99.09,Transferencia,46008,2024-07-21 19:19:37
5000071,105961.0,1,2024-08-17 11:32:10,devuelto,15.98,0.0,15.98,tarjeta,08002,
5000072,115063.0,1,2024-07-08 18:57:40,entregado,21.77,0.0,21.77,efectivo_entrega,08008,2024-07-08 20:49:11
5000073,103861.0,4,2024-06-15 10:06:18,entregado,30.32,0.0,30.32,tarjeta,41018,2024-06-15 11:28:45
5000074,111153.0,5,2024-06-19 20:59:54,entregado,25.53,0.0,25.53,tarjeta,48013,2024-06-19 22:58:26
5000075,109266.0,2,2024-07-25 11:12:18,entregado,38.06,0.0,38.06,bizum,28002,2024-07-25 12:28:15
5000076,102425.0,1,2024-08-08 20:47:27,devuelto,22.23,0.0,22.23,tarjeta,08001,
5000077,110905.0,2,2024-07-25 18:49:05,entregado,80.26,0.0,80.26,paypal,28005,2024-07-25 20:01:17
5000078,105289.0,1,2024-07-04 11:50:52,entregado,71.0,3.55,67.45,transferencia,08036,2024-07-04 14:19:31
5000079,108497.0,2,2024-07-26 18:39:06,entregado,42.14,6.32,35.82,tarjeta,28033,2024-07-26 21:49:15
5000080,110486.0,5,2024-06-20 22:39:51,devuelto,34.53,1.73,32.8,tarjeta,48010,
5000081,109372.0,1,2024-07-24 19:27:53,devuelto,20.83,2.08,18.75,efectivo_entrega,08008,
5000082,102371.0,1,2024-08-04 21:33:27,entregado,68.05,6.8,61.25,transferencia,08004,2024-08-04 23:23:14
5000083,107530.0,2,2024-06-23 08:00:15,entregado,20.39,2.04,18.35,transferencia,28036,2024-06-23 09:02:12
5000084,105036.0,3,2024-08-11 09:54:06,entregado,10.51,0.0,10.51,bizum,46018,2024-08-11 10:57:08
5000085,114718.0,2,2024-08-07 08:08:25,devuelto,44.48,0.0,44.48,tarjeta,28010,
5000086,104140.0,3,2024-06-19 12:41:28,entregado,31.68,0.0,31.68,bizum,46022,2024-06-19 15:32:04
5000087,100098.0,3,2024-06-01 18:20:36,entregado,30.92,1.55,29.37,tarjeta,46018,2024-06-01 19:29:47
5000088,103296.0,1,2024-08-01 15:07:06,entregado,32.03,4.8,27.23,tarjeta,08007,2024-08-01 16:49:55
5000089,102042.0,1,2024-07-08 17:28:12,en_reparto,25.28,0.0,25.28,tarjeta,08019,
5000090,106791.0,5,2024-08-20 10:39:05,entregado,45.66,0.0,45.66,tarjeta,48010,2024-08-20 12:56:04
5000091,112673.0,2,2024-05-05 19:00:14,entregado,83.99,4.2,79.79,mastercard,28008,2024-05-05 20:28:56
5000092,106831.0,3,2024-07-07 10:40:30,entregado,66.15,0.0,66.15,tarjeta,46022,2024-07-07 12:55:39
5000093,105640.0,3,2024-06-10 18:48:05,devuelto,48.78,2.44,46.34,bizum,46020,
5000094,102345.0,1,2024-08-09 19:28:38,entregado,26.97,0.0,26.97,tarjeta,08015,2024-08-09 22:09:04
5000095,109572.0,1,2024-08-29 18:40:54,devuelto,28.17,0.0,28.17,tarjeta,08026,
5000096,101112.0,4,2024-08-03 11:34:18,entregado,73.75,0.0,73.75,paypal,41004,2024-08-03 15:00:13
5000097,102020.0,4,2024-05-31 18:34:33,entregado,9.58,0.0,9.58,tarjeta,41015,2024-05-31 19:41:07
5000098,108035.0,4,2024-07-11 10:05:09,entregado,31.65,1.58,30.07,paypal,41007,2024-07-11 11:26:14
5000099,110663.0,3,2024-08-08 18:11:11,entregado,31.89,6.38,25.51,bizum,46001,2024-08-08 20:00:43
5000100,109068.0,2,2024-08-05 18:38:45,entregado,24.89,2.49,22.4,bizum,28003,2024-08-05 20:39:32
5000101,103650.0,1,2024-07-21 18:13:25,entregado,31.06,3.11,27.95,tarjeta,08007,2024-07-21 20:30:22
5000102,108169.0,1,2024-06-15 10:27:30,en_preparacion,8.42,0.0,8.42,tarjeta,08026,
5000103,,2,2024-06-19 13:28:17,entregado,30.96,3.1,27.86,bizum,28002,2024-06-19 14:46:20
5000104,107260.0,3,2024-07-25 09:51:55,entregado,46.89,0.0,46.89,bizum,46004,2024-07-25 11:18:08
5000105,108595.0,5,2024-08-29 10:51:09,entregado,88.85,8.88,79.97,tarjeta,48009,2024-08-29 13:46:25
5000106,115063.0,2,2024-06-13 13:18:59,entregado,18.31,1.83,16.48,tarjeta,28016,2024-06-13 16:36:06
5000107,104844.0,2,2024-07-31 11:23:22,entregado,12.63,0.0,12.63,tarjeta,28007,2024-07-31 14:07:12
5000108,114242.0,1,2024-07-18 10:36:00,cancelado,32.18,3.22,28.96,transferencia,08035,
5000109,109315.0,1,2024-07-27 17:22:43,entregado,91.13,0.0,91.13,tarjeta,08006,2024-07-27 20:32:20
5000110,107183.0,1,2024-08-13 08:34:56,entregado,33.05,1.65,31.4,tarjeta,08002,2024-08-13 10:33:07
5000111,101940.0,3,2024-07-23 19:21:25,cancelado,19.58,2.94,16.64,tarjeta,46004,
5000112,102883.0,1,2024-05-15 17:51:35,entregado,26.66,1.33,25.33,paypal,08020,2024-05-15 20:42:24
5000113,104345.0,1,2024-07-22 15:38:42,entregado,24.72,0.0,24.72,efectivo_entrega,08009,2024-07-22 18:17:48
5000114,112119.0,2,2024-07-07 19:36:07,entregado,7.38,0.0,7.38,tarjeta,28046,2024-07-07 21:38:49
5000115,113902.0,1,2024-07-27 19:22:08,devuelto,19.21,1.92,17.29,tarjeta,08034,
5000116,109195.0,1,2024-07-07 21:52:45,devuelto,45.47,9.09,36.38,tarjeta,08001,
5000117,107250.0,2,2024-08-22 18:56:57,entregado,45.88,6.88,39.0,efectivo_entrega,28003,2024-08-22 21:20:10
5000118,104221.0,1,2024-07-26 09:19:48,entregado,25.15,0.0,25.15,efectivo_entrega,08025,2024-07-26 12:46:43
5000119,110548.0,1,2024-06-17 15:57:32,devuelto,12.22,0.0,12.22,tarjeta,08035,
5000120,111713.0,1,2024-09-04 20:21:27,entregado,23.08,1.15,21.93,bizum,08029,2024-09-04 23:12:07
5000121,105548.0,1,2024-07-11 14:17:25,entregado,78.64,15.73,62.91,bizum,08012,2024-07-11 16:18:44
5000122,114268.0,2,2024-06-29 12:51:44,entregado,36.67,0.0,36.67,bizum,28008,2024-06-29 15:07:41
5000123,100977.0,1,2024-07-09 17:34:31,entregado,30.16,6.03,24.13,bizum,08008,2024-07-09 20:40:10
5000124,106202.0,1,2024-07-04 18:59:15,entregado,27.36,0.0,27.36,bizum,08022,2024-07-04 20:23:07
5000125,103593.0,1,2024-06-25 16:40:24,entregado,115.04,0.0,115.04,Tarjeta,08021,2024-06-25 20:06:26
5000126,101963.0,3,2024-06-10 19:30:53,entregado,22.07,2.21,19.86,bizum,46013,2024-06-10 23:00:28
5000127,113930.0,2,2024-05-14 19:15:11,entregado,90.55,9.05,81.5,bizum,28016,2024-05-14 21:43:37
5000128,105814.0,5,2024-06-14 18:00:33,entregado,19.47,0.0,19.47,tarjeta,48010,2024-06-14 20:19:44
5000129,103679.0,3,2024-08-19 19:24:21,entregado,65.78,6.58,59.2,bizum,46023,2024-08-19 22:19:13
5000130,112798.0,1,2024-06-19 19:06:52,devuelto,24.72,3.71,21.01,bizum,08021,
5000131,112578.0,2,2024-06-27 08:10:33,entregado,19.81,0.99,18.82,tarjeta,28034,2024-06-27 10:29:17
5000132,114797.0,1,2024-07-25 11:57:38,entregado,71.68,3.58,68.1,bizum,08020,2024-07-25 14:03:02
5000133,113630.0,2,2024-06-11 10:34:36,entregado,19.04,1.9,17.14,tarjeta,28012,2024-06-11 13:50:30
5000134,105869.0,2,2024-07-10 15:04:17,entregado,17.55,2.63,14.92,efectivo_entrega,28008,2024-07-10 16:28:01
5000135,101403.0,1,2024-08-16 17:23:43,entregado,81.26,4.06,77.2,efectivo_entrega,08034,2024-08-16 20:23:05
5000136,105229.0,4,2024-05-17 17:35:02,entregado,96.48,0.0,96.48,tarjeta,41012,2024-05-17 20:56:46
5000137,115090.0,2,2024-08-08 15:21:42,entregado,43.94,6.59,37.35,tarjeta,28016,2024-08-08 18:00:05
5000138,111371.0,1,2024-04-29 18:02:39,entregado,31.37,0.0,31.37,efectivo_entrega,08008,2024-04-29 20:40:50
5000139,105679.0,1,2024-07-22 20:16:42,entregado,63.85,9.58,54.27,efectivo_entrega,08010,2024-07-22 22:02:34
5000140,105613.0,2,01/07/2024 08:48,entregado,55.22,0.0,55.22,paypal,28046,2024-07-01 11:17:45
5000141,103551.0,1,2024-06-21 11:25:05,entregado,15.23,0.76,14.47,efectivo_entrega,08024,2024-06-21 14:53:04
5000142,104074.0,4,2024-06-11 11:25:38,devuelto,32.98,3.3,29.68,tarjeta,41016,
5000143,,2,2024-06-15 08:55:42,entregado,50.29,5.03,45.26,tarjeta,28004,2024-06-15 11:11:39
5000144,111594.0,1,2024-06-03 18:49:24,entregado,20.5,2.05,18.45,bizum,08019,2024-06-03 22:04:03
5000145,114368.0,2,2024-05-11 08:21:56,entregado,34.31,0.0,34.31,tarjeta,28042,2024-05-11 09:31:06
5000146,109869.0,5,2024-06-05 09:41:09,entregado,154.77,0.0,154.77,tarjeta,48002,2024-06-05 10:59:23
5000147,106504.0,4,2024-06-22 16:56:00,entregado,81.65,4.08,77.57,paypal,41006,2024-06-22 18:32:53
5000148,105086.0,4,2024-06-27 10:17:22,entregado,39.41,1.97,37.44,tarjeta,41002,2024-06-27 13:02:52
5000149,112868.0,4,2024-08-11 17:54:38,entregado,20.77,0.0,20.77,tarjeta,41011,2024-08-11 20:52:06
5000150,110144.0,4,2024-07-04 20:55:15,entregado,31.39,0.0,31.39,efectivo_entrega,41017,2024-07-04 23:52:27
5000151,104545.0,4,2024-06-22 08:50:21,entregado,16.82,0.0,16.82,tarjeta,41014,2024-06-22 12:07:36
5000152,102302.0,1,2024-07-15 11:36:32,entregado,26.83,2.68,24.15,bizum,08009,2024-07-15 13:48:30
5000153,112592.0,3,2024-06-17 16:14:26,devuelto,43.23,2.16,41.07,tarjeta,46006,
5000154,106373.0,2,2024-08-22 19:04:56,entregado,12.16,1.82,10.34,tarjeta,28001,2024-08-22 22:22:39
5000155,108911.0,4,2024-08-15 08:18:43,entregado,62.14,12.43,49.71,bizum,41015,2024-08-15 10:08:49
5000156,110087.0,2,2024-08-31 16:26:44,entregado,69.97,10.5,59.47,bizum,28036,2024-08-31 18:17:36
5000157,105599.0,2,2024-05-11 09:05:42,entregado,31.25,3.12,28.13,PAYPAL,28010,2024-05-11 12:27:35
5000158,103367.0,1,2024-07-27 09:23:15,entregado,120.68,0.0,120.68,paypal,08015,2024-07-27 11:16:52
5000159,103684.0,4,2024-07-18 17:17:17,entregado,29.65,2.96,26.69,bizum,41018,2024-07-18 19:48:14
5000160,101517.0,1,2024-06-07 09:21:51,entregado,12.46,1.25,11.21,bizum,08029,
5000161,107085.0,1,2024-06-25 18:30:30,entregado,43.97,0.0,43.97,bizum,08021,2024-06-25 20:04:49
5000162,114124.0,2,2024-07-02 10:52:37,devuelto,30.12,0.0,30.12,tarjeta,28036,
5000163,103468.0,1,2024-08-07 10:18:16,entregado,33.64,0.0,33.64,tarjeta,08011,2024-08-07 12:01:49
5000164,103061.0,4,2024-06-27 10:41:46,entregado,13.27,0.0,13.27,paypal,41019,2024-06-27 12:29:51
5000165,107573.0,4,2024-07-21 21:09:27,entregado,62.31,0.0,62.31,tarjeta,41017,2024-07-22 00:28:55
5000166,110200.0,2,2024-08-14 16:04:02,cancelado,47.68,0.0,47.68,tarjeta,28034,
5000167,102494.0,4,2024-04-17 10:40:32,entregado,31.26,0.0,31.26,bizum,41006,2024-04-17 12:14:09
5000168,115206.0,2,2024-06-26 16:47:45,entregado,108.31,10.83,97.48,bizum,28004,2024-06-26 19:50:52
5000169,104505.0,2,2024-06-21 16:29:14,en_preparacion,23.63,3.54,20.09,bizum,28013,
5000170,102313.0,1,22/05/2024 09:21,entregado,15.01,3.0,12.01,transferencia,08029,2024-05-22 10:33:54
5000171,113088.0,1,2024-06-25 18:00:57,entregado,47.77,0.0,47.77,bizum,08011,2024-06-25 21:26:37
5000172,114141.0,2,2024-07-08 10:17:39,entregado,13.25,0.0,13.25,paypal,28028,2024-07-08 13:46:08
5000173,102154.0,4,27/06/2024 21:45,entregado,37.51,1.88,35.63,transferencia,41012,2024-06-28 00:22:31
5000174,108092.0,4,2024-07-21 09:48:25,entregado,43.29,8.66,34.63,tarjeta,41016,2024-07-21 10:53:04
5000175,110882.0,1,2024-07-06 16:49:08,entregado,49.84,2.49,47.35,tarjeta,08001,2024-07-06 18:54:10
5000176,102617.0,5,2024-06-07 18:17:49,entregado,14.25,0.0,14.25,tarjeta,48008,2024-06-07 19:46:50
5000177,111610.0,1,2024-07-13 19:17:45,entregado,24.85,0.0,24.85,bizum,08007,2024-07-13 21:08:07
5000178,103195.0,2,2024-07-01 10:50:49,entregado,22.41,2.24,20.17,efectivo_entrega,28046,2024-07-01 12:27:40
5000179,102858.0,1,2024-07-21 22:51:21,entregado,56.47,5.65,50.82,paypal,08012,2024-07-21 23:57:30
5000180,107563.0,4,2024-07-21 18:22:03,entregado,68.99,6.9,62.09,visa,41020,2024-07-21 19:48:59
5000181,103790.0,4,2024-05-06 16:21:44,en_reparto,26.64,1.33,25.31,tarjeta,41016,
5000182,108545.0,4,2024-07-27 09:59:34,entregado,27.65,0.0,27.65,bizum,41015,2024-07-27 11:04:21
5000183,109153.0,2,2024-07-21 17:13:38,entregado,20.89,0.0,20.89,efectivo_entrega,28034,2024-07-21 19:55:47
5000184,102334.0,1,2024-06-30 21:41:18,entregado,29.98,6.0,23.98,tarjeta,08017,2024-07-01 00:18:57
5000185,103503.0,4,2024-06-23 13:00:28,devuelto,49.64,0.0,49.64,bizum,41001,
5000186,108813.0,2,2024-06-24 09:41:23,entregado,24.28,2.43,21.85,efectivo_entrega,28003,2024-06-24 11:07:37
5000187,113080.0,1,2024-07-15 09:47:27,entregado,67.59,0.0,67.59,tarjeta,08007,2024-07-15 13:16:56
5000188,107312.0,1,2024-08-03 20:22:49,entregado,40.7,8.14,32.56,paypal,08009,2024-08-03 22:22:07
5000189,105484.0,2,2024-06-26 11:01:23,entregado,13.34,0.67,12.67,tarjeta,28005,2024-06-26 12:51:49
5000190,100612.0,1,2024-06-17 07:34:23,entregado,45.88,0.0,45.88,tarjeta,08023,2024-06-17 10:52:04
5000191,111672.0,4,2024-08-01 19:43:18,entregado,20.51,0.0,20.51,tarjeta,41006,2024-08-01 21:34:26
5000192,113946.0,3,2024-08-14 16:41:14,entregado,50.24,0.0,50.24,bizum,46010,2024-08-14 19:37:27
5000193,110977.0,2,2024-06-16 13:52:55,entregado,67.56,6.76,60.8,efectivo_entrega,28013,2024-06-16 15:17:22
5000194,107172.0,2,2024-07-22 12:05:05,entregado,12.38,0.0,12.38,tarjeta,28007,2024-07-22 15:33:51
5000195,104124.0,4,2024-07-04 13:55:46,cancelado,64.41,3.22,61.19,tarjeta,41018,
5000196,112948.0,4,2024-06-30 12:54:58,entregado,60.65,3.03,57.62,tarjeta,41009,2024-06-30 15:13:02
5000197,114898.0,2,2024-08-06 16:50:22,entregado,36.16,0.0,36.16,paypal,28034,2024-08-06 18:27:07
5000198,110485.0,2,2024-06-11 08:52:34,devuelto,28.92,1.45,27.47,bizum,28006,
5000199,100177.0,4,2024-07-05 18:27:00,entregado,34.05,0.0,34.05,tarjeta,41014,2024-07-05 20:02:19
5000200,106425.0,1,2024-08-21 19:32:17,entregado,38.86,3.89,34.97,bizum,08007,2024-08-21 22:41:28
5000201,109788.0,4,04/07/2024 16:56,entregado,39.15,0.0,39.15,tarjeta,41019,2024-07-04 20:23:13
5000202,112816.0,2,2024-07-03 19:39:06,entregado,26.63,0.0,26.63,bizum,28016,2024-07-03 22:17:31
5000203,112460.0,1,2024-06-14 07:12:43,devuelto,13.28,1.99,11.29,tarjeta,08019,
5000204,104191.0,4,2024-07-29 10:40:00,entregado,30.61,4.59,26.02,efectivo_entrega,41008,2024-07-29 12:31:07
5000205,101784.0,2,2024-06-05 09:30:30,entregado,102.38,0.0,102.38,efectivo_entrega,28002,2024-06-05 12:44:24
5000206,101715.0,5,2024-06-16 11:21:12,devuelto,64.92,0.0,64.92,Paypal,48003,
5000207,107965.0,1,2024-07-17 19:48:59,entregado,31.2,1.56,29.64,efectivo_entrega,08017,2024-07-17 21:04:59
5000208,115128.0,5,2024-05-20 16:54:31,entregado,29.26,0.0,29.26,efectivo_entrega,48013,2024-05-20 19:35:33
5000209,111218.0,2,2024-05-08 18:15:25,en_preparacion,40.68,0.0,40.68,transferencia,28014,
5000210,103895.0,3,07/07/2024 12:08,entregado,47.68,7.15,40.53,paypal,46010,2024-07-07 15:26:00
5000211,104045.0,2,2024-06-26 16:43:03,entregado,22.07,2.21,19.86,tarjeta,28010,2024-06-26 19:03:04
5000212,114904.0,1,2024-08-19 16:33:12,entregado,32.83,3.28,29.55,tarjeta,08004,2024-08-19 20:01:39
5000213,104221.0,4,2024-08-08 20:36:41,entregado,25.24,0.0,25.24,paypal,41008,2024-08-08 22:03:30
5000214,109372.0,1,2024-04-19 16:41:56,entregado,17.18,1.72,15.46,paypal,08020,2024-04-19 18:21:35
5000215,103662.0,2,19/06/2024 09:50,entregado,33.04,0.0,38.0,bizum,28020,2024-06-19 13:12:12
5000216,105031.0,1,2024-05-30 09:32:51,entregado,96.45,0.0,96.45,tarjeta,08021,2024-05-30 12:43:58
5000217,102858.0,2,2024-08-28 19:00:24,entregado,18.16,2.72,15.44,transferencia,28014,2024-08-28 22:27:17
5000218,113219.0,5,2024-06-09 16:53:13,entregado,48.13,2.41,45.72,tarjeta,48004,2024-06-09 18:27:54
5000219,105514.0,4,12/07/2024 19:54,entregado,34.32,3.43,30.89,Tarjeta,41016,2024-07-12 21:18:00
5000220,113458.0,2,2024-06-15 19:51:23,entregado,49.84,0.0,49.84,bizum,28008,
5000221,105558.0,2,2024-08-08 12:38:02,entregado,73.0,10.95,62.05,paypal,28008,2024-08-08 15:10:06
5000222,111628.0,1,2024-07-03 17:41:12,devuelto,122.67,0.0,122.67,tarjeta,08004,
5000223,107970.0,1,2024-07-09 18:01:40,entregado,45.32,0.0,45.32,bizum,08015,2024-07-09 20:23:55
5000224,106708.0,4,2024-04-28 16:42:52,entregado,31.25,1.56,29.69,transferencia,41007,2024-04-28 20:12:23
5000225,102020.0,4,2024-07-07 17:42:39,entregado,28.38,4.26,24.12,tarjeta,41016,2024-07-07 19:18:35
5000226,111668.0,5,2024-05-08 07:13:44,entregado,55.92,5.59,50.33,transferencia,48003,2024-05-08 09:29:14
5000227,113696.0,1,2024-07-27 09:04:54,entregado,37.89,0.0,37.89,paypal,08021,2024-07-27 12:09:24
5000228,102141.0,1,2024-07-30 13:11:35,entregado,96.4,9.64,86.76,bizum,08025,2024-07-30 14:20:54
5000229,111031.0,5,2024-06-14 13:06:36,entregado,80.31,0.0,80.31,tarjeta,48012,2024-06-14 14:07:59
5000230,113013.0,4,2024-07-23 13:33:02,entregado,21.95,1.1,20.85,transferencia,41007,2024-07-23 15:57:28
5000231,108410.0,3,2024-07-17 13:11:36,entregado,32.61,0.0,32.61,tarjeta,46006,2024-07-17 15:33:22
5000232,106691.0,5,2024-08-01 09:28:22,entregado,62.64,0.0,62.64,efectivo_entrega,48001,2024-08-01 12:10:48
