producto_id,nombre,marca,categoria_id,precio_base,peso_kg,es_perecedero,dias_caducidad,activo,fecha_alta
2080,Plátanos de Canarias (kg),Bonnysa,38.0,10.53,4.63,True,4.0,True,2020-12-27
2081,Tomates rama (kg),Genérico,38.0,7.65,9.98,TRUE,4.0,True,2020-06-05
2082,Lechuga romana,Genérico,38.0,8.87,5.11,sí,5.0,True,2021-08-13
2083,Pimientos rojos (kg),Genérico,38.0,14.16,8.8,sí,8.0,True,2021-03-07
2084,Pimientos rojos (kg),Bonnysa,38.0,4.98,4.44,True,11.0,True,2021-12-05
2085,Zanahorias (kg),Genérico,38.0,5.25,9.84,sí,13.0,True,2022-09-14
2086,Zanahorias (kg),Bonnysa,38.0,8.74,6.71,sí,11.0,True,2021-07-20
2087,Zanahorias (kg),Kernel Export,38.0,5.2,6.67,sí,5.0,True,2020-09-09
2088,Naranjas de zumo (kg),Genérico,38.0,2.37,1.16,true,11.0,True,2021-07-29
2089,Naranjas de zumo (kg),Bonnysa,38.0,2.98,2.89,sí,6.0,True,2021-07-05
2090,Aguacate (ud),Genérico,38.0,5.87,6.91,TRUE,7.0,True,2020-11-21
2091,Aguacate (ud),Bonnysa,38.0,8.37,2.59,sí,3.0,True,2022-11-07
2092,Aguacate (ud),Kernel Export,38.0,2.01,4.29,True,7.0,True,2021-02-18
2093,Limones malla 1kg,Genérico,38.0,0.64,7.73,sí,13.0,True,2022-12-26
2094,Patatas (kg) 2kg,Genérico,38.0,3.08,4.47,True,14.0,True,2022-11-27
2095,Patatas (kg) 2kg,Bonnysa,38.0,7.18,0.2,TRUE,4.0,True,2022-10-03
2096,Producto Cada Genérico 250g,Genérico,28.0,20.94,0.78,False,,True,2022-08-04
2097,Producto Viejo Dia 250g,Dia,48.0,22.51,1.29,true,4.0,True,2020-09-22
2098,Producto Queda Mercadona 12ud,Mercadona,80.0,24.35,4.63,False,,True,2023-02-06
2099,Producto Obra Mercadona 1kg,Mercadona,29.0,22.08,3.7,sí,8.0,True,2020-09-10
2100,Producto Soy Mercadona 1L,Mercadona,61.0,7.03,0.59,False,,True,2021-08-12
2101,Producto Pueblo Carrefour 1L,Carrefour,69.0,20.5,1.56,False,,True,2024-03-17
2102,Producto Siguientes Carrefour 250g,Carrefour,38.0,16.66,1.43,no,,True,2022-09-21
2103,Producto Ejército Dia 12ud,Dia,44.0,17.14,1.69,no,,False,2022-05-15
2104,Producto Tarde Carrefour 500ml,Carrefour,42.0,1.43,1.76,0,,True,2022-11-29
2105,Producto Luz Genérico 500g,Genérico,64.0,9.93,1.31,False,,True,2023-08-02
2106,Producto Plazo Genérico 1L,Genérico,9.0,9.41,3.34,TRUE,8.0,True,2023-04-20
2107,Producto Vez Eroski 500ml,Eroski,24.0,12.91,1.66,false,,True,2020-12-21
2108,Producto Pese Carrefour 1L,Carrefour,79.0,10.79,3.4,0,,True,2020-02-19
2109,Producto Tales Genérico 500ml,Genérico,87.0,10.44,1.55,FALSE,,True,2021-05-05
2110,Producto Papel Genérico 6ud,Genérico,83.0,11.88,1.11,0,,True,2021-02-19
2111,Producto Donde Eroski 500g,Eroski,30.0,7.44,3.12,no,,True,2020-11-23
2112,Producto Obstante Eroski 500ml,Eroski,39.0,5.99,0.17,1,6.0,True,2024-01-04
2113,Producto Salir Mercadona 500g,Mercadona,87.0,11.65,2.9,0,,True,2023-09-23
2114,Producto Estructura Auchan 12ud,Auchan,58.0,6.47,0.08,0,,True,2021-05-03
2115,Producto Usted Mercadona 12ud,Mercadona,22.0,5.85,3.49,FALSE,,True,2022-10-15
2116,Producto Fuerzas Carrefour 500g,Carrefour,80.0,11.67,3.35,False,,True,2021-09-06
2117,Producto Violencia Dia pack 3,Dia,85.0,15.5,2.55,FALSE,,True,2023-11-21
2118,Producto Amigos Auchan 1kg,Auchan,79.0,18.71,1.33,false,,True,2021-12-13
2119,Producto Algunos Mercadona pack 3,Mercadona,44.0,15.85,0.43,true,7.0,True,2021-02-15
2120,Producto Otras Dia 500g,Dia,51.0,3.88,3.49,TRUE,14.0,True,2021-01-18
2121,Producto Serán Auchan 6ud,Auchan,62.0,13.78,1.07,no,,True,2022-05-22
2122,Producto Seguir Eroski 250g,Eroski,83.0,21.48,1.93,FALSE,,False,2021-02-12
2123,Producto Ideas Dia 12ud,Dia,54.0,21.4,2.12,False,,True,2022-06-27
2124,Producto Media Mercadona 1L,Mercadona,78.0,12.45,2.45,sí,9.0,True,2023-10-26
2125,Producto Domingo Eroski 1kg,Eroski,60.0,21.08,4.9,no,,True,2021-09-12
2126,Producto Acción Genérico 250g,Genérico,59.0,2.55,4.34,false,,True,2020-12-06
2127,Producto Trabajo Auchan 6ud,Auchan,42.0,5.68,3.82,false,,True,2022-03-02
2128,Producto Control Dia 500g,Dia,62.0,12.01,0.31,0,,True,2020-05-21
2129,Producto Juez Eroski 500g,Eroski,37.0,19.63,3.78,False,,True,2020-03-14
2130,Producto Contenido Mercadona 250g,Mercadona,34.0,15.71,2.39,True,4.0,True,2020-06-19
2131,Producto Luego Auchan 500ml,Auchan,36.0,19.28,3.06,1,14.0,True,2022-09-01
2132,Producto Tenía Dia 500g,Dia,29.0,14.67,2.9,False,,True,2023-05-15
2133,Producto Ve Auchan 1L,Auchan,57.0,2.35,3.15,False,,True,2021-10-17
2134,Producto Mesa Mercadona 500g,Mercadona,47.0,20.0,0.25,0,,True,2020-04-08
2135,Producto Comisión Hacendado 6ud,Hacendado,56.0,0.8,2.48,False,,True,2021-08-15
2136,Producto Mesa Eroski pack 3,Eroski,55.0,17.82,3.68,0,,True,2024-03-27
2137,Producto Sigue Genérico pack 3,Genérico,43.0,11.88,2.98,0,,True,2022-04-01
2138,Producto Problemas Mercadona 500g,Mercadona,40.0,7.32,3.76,no,,True,2024-02-17
2139,Producto Sol Dia 250g,Dia,57.0,12.6,2.46,False,,True,2023-08-30
2140,Producto Piel Dia 500ml,Dia,42.0,22.06,1.42,False,,False,2020-01-18
2141,Producto Ve Hacendado 1L,Hacendado,33.0,18.13,3.8,FALSE,,True,2023-01-24
2142,Producto Unos Auchan 250g,Auchan,71.0,2.77,3.47,true,7.0,True,2022-11-25
2143,Producto Primeras Auchan 6ud,Auchan,56.0,10.91,1.69,False,,True,2022-04-14
2144,Producto Carrera Dia 500ml,Dia,43.0,6.14,1.61,FALSE,,True,2021-02-18
2145,Producto Expresión Carrefour 1L,Carrefour,32.0,18.59,2.97,True,11.0,True,2022-09-22
2146,Producto Empresa Mercadona 1L,Mercadona,21.0,7.75,1.55,0,,True,2020-06-22
2147,Producto Casos Dia 250g,Dia,25.0,24.36,3.5,false,,True,2021-11-06
2148,Producto Estas Hacendado 250g,Hacendado,71.0,14.55,2.23,no,,True,2021-12-05
2149,Producto El Dia pack 3,Dia,15.0,3.29,2.48,True,12.0,True,2024-01-21
2150,Producto Carta Carrefour 1kg,Carrefour,15.0,20.36,0.47,False,,True,2023-09-22
2151,Producto Efectos Mercadona 12ud,Mercadona,80.0,15.34,1.17,0,,True,2021-02-13
2152,Producto N Auchan 500ml,Auchan,66.0,21.56,1.56,False,,True,2022-02-16
2153,Producto Práctica Eroski 500g,Eroski,87.0,23.71,1.09,TRUE,13.0,True,2020-10-04
2154,Producto Económica Carrefour 500g,Carrefour,39.0,4.33,3.46,FALSE,,True,2023-11-18
2155,Producto Nada Carrefour 500ml,Carrefour,13.0,17.81,2.3,false,,True,2023-09-14
2156,Producto República Mercadona 1L,Mercadona,42.0,10.91,3.26,false,,True,2021-04-08
2157,Producto Pregunta Hacendado 250g,Hacendado,27.0,4.56,3.76,no,,True,2022-09-19
2158,Producto Económica Auchan 500g,Auchan,45.0,11.97,2.04,FALSE,,True,2022-08-04
2159,Producto Cualquier Auchan pack 3,Auchan,78.0,2.46,2.19,sí,8.0,True,2020-08-25
2160,Producto Vista Hacendado 1L,Hacendado,12.0,24.06,2.9,false,,True,2023-03-30
2161,Producto Poder Genérico 250g,Genérico,43.0,19.19,2.62,sí,10.0,True,2022-04-17
2162,Producto Perdido Genérico 12ud,Genérico,32.0,16.04,0.5,0,,True,2023-04-24
2163,Producto Deseo Dia 500g,Dia,51.0,21.5,3.48,False,,True,2022-04-03
2164,Producto Pacientes Mercadona 250g,Mercadona,60.0,11.63,1.65,0,,True,2020-01-01
2165,Producto Cuyo Mercadona 250g,Mercadona,60.0,16.6,2.1,FALSE,,True,2021-05-18
2166,Producto Economía Genérico pack 3,Genérico,55.0,15.81,1.06,false,,True,2020-01-31
2167,Producto Presidente Auchan pack 3,Auchan,45.0,3.46,3.06,no,,True,2023-12-14
2168,Producto Amor Dia 250g,Dia,29.0,14.02,4.96,sí,4.0,True,2023-09-27
2169,Producto Industria Eroski 1kg,Eroski,,12.7,2.57,0,,True,2023-06-07
2170,Producto Hemos Auchan 1L,Auchan,70.0,11.68,0.99,True,12.0,True,2021-01-06
2171,Producto Todos Mercadona 500g,Mercadona,26.0,7.26,2.1,false,,True,2021-01-09
2172,Producto Busca Dia 250g,Dia,73.0,7.42,2.96,TRUE,13.0,True,2022-05-31
2173,Producto Blanca Auchan pack 3,Auchan,28.0,8.95,2.74,FALSE,,True,2020-05-02
2174,Producto Durante Mercadona 1L,Mercadona,50.0,24.52,1.95,true,9.0,False,2023-02-10
2175,Producto Organización Eroski 12ud,Eroski,69.0,9.95,4.11,0,,True,2023-06-21
2176,Producto Mismo Hacendado 1kg,Hacendado,72.0,12.8,4.36,FALSE,,True,2024-02-28
2177,Producto Cultural Hacendado pack 3,Hacendado,65.0,0.87,4.36,true,5.0,True,2022-04-07
2178,Producto Memoria Dia 12ud,Dia,42.0,16.41,4.27,0,,True,2020-07-14
2179,Producto Millones Dia pack 3,Dia,57.0,21.86,0.39,1,13.0,True,2022-10-21
2180,Producto Efecto Carrefour 500g,Carrefour,45.0,11.12,3.19,sí,4.0,True,2024-01-10
2181,Producto Contrario Hacendado 250g,Hacendado,47.0,8.44,1.82,True,9.0,True,2020-09-13
2182,Producto Mañana Auchan 1kg,Auchan,76.0,4.65,4.36,1,12.0,True,2022-03-30
2183,Producto Vio Genérico 1kg,Genérico,72.0,6.18,2.32,FALSE,,True,2022-07-31
2184,Producto Principio Dia 1kg,Dia,68.0,2.3,4.94,False,,True,2024-02-07
2185,Producto Habían Eroski 500ml,Eroski,63.0,11.68,5.0,no,,True,2023-12-14
2186,Producto Allá Carrefour 12ud,Carrefour,22.0,14.5,4.96,false,,True,2023-03-19
2187,Producto Actitud Dia 250g,Dia,59.0,14.36,3.74,false,,False,2022-12-07
2188,Producto Aún Eroski pack 3,Eroski,86.0,20.89,3.89,no,,True,2023-01-12
2189,Producto Respecto Carrefour 1L,Carrefour,54.0,15.7,3.62,no,,True,2021-09-11
2190,Producto Crecimiento Eroski 500g,Eroski,26.0,22.62,1.58,FALSE,,True,2022-10-06
2191,Producto Vista Dia 1kg,Dia,83.0,2.7,3.75,True,5.0,True,2021-11-11
2192,Producto Material Dia 500ml,Dia,78.0,20.84,4.13,1,10.0,True,2022-03-15
2193,Producto Puntos Eroski 6ud,Eroski,46.0,20.19,0.42,0,,True,2020-07-06
2194,Producto Último Mercadona 12ud,Mercadona,37.0,24.19,1.86,0,,True,2020-12-15
2195,Producto Él Dia 500g,Dia,,11.63,3.38,false,,True,2021-06-09
2196,Producto Como Hacendado 1L,Hacendado,56.0,12.04,4.72,false,,True,2022-07-02
2197,Producto Jóvenes Carrefour 500g,Carrefour,87.0,16.06,3.52,FALSE,,True,2020-12-23
2198,Producto Productos Carrefour 250g,Carrefour,23.0,23.67,2.49,FALSE,,True,2020-12-08
2199,Producto Los Carrefour 12ud,Carrefour,77.0,11.6,3.73,FALSE,,True,2020-04-20
2200,Producto Baja Genérico 1kg,Genérico,62.0,22.18,4.18,no,,True,2022-09-07
2201,Producto Así Hacendado 6ud,Hacendado,44.0,5.81,1.22,FALSE,,True,2020-12-21
2202,Producto Tiempo Genérico 6ud,Genérico,56.0,1.97,4.84,1,10.0,True,2023-11-07
2203,Producto Este Eroski 250g,Eroski,36.0,1.73,4.94,FALSE,,True,2023-08-28
2204,Producto Español Hacendado 1L,Hacendado,35.0,14.86,1.2,FALSE,,True,2020-04-20
2205,Producto Tenemos Hacendado 500ml,Hacendado,85.0,21.52,0.69,true,7.0,True,2021-01-04
2206,Producto María Eroski 250g,Eroski,23.0,3.72,3.95,false,,True,2022-11-05
2207,Producto Organización Carrefour 500ml,Carrefour,11.0,1.77,2.65,false,,True,2020-11-28
2208,Producto Allá Auchan 6ud,Auchan,69.0,13.06,2.54,1,12.0,False,2020-07-24
2209,Producto Construcción Dia pack 3,Dia,75.0,16.25,4.99,True,9.0,True,2023-12-24
2210,Producto López Auchan pack 3,Auchan,22.0,2.29,3.06,sí,4.0,True,2022-06-06
2211,Producto Principal Eroski 6ud,Eroski,88.0,9.82,1.51,0,,True,2022-01-04
2212,Producto Relación Hacendado 500g,Hacendado,64.0,21.38,3.86,False,,True,2023-05-03
2213,Producto González Auchan pack 3,Auchan,36.0,22.25,4.15,no,,True,2023-06-08
2214,Producto Dado Dia 12ud,Dia,21.0,8.15,4.77,1,13.0,True,2020-10-22
2215,Producto Gran Hacendado 500g,Hacendado,17.0,2.77,3.71,TRUE,5.0,True,2020-05-30
2216,Producto Trabajadores Genérico 6ud,Genérico,,16.91,4.37,false,,True,2021-10-31
2217,Producto Dios Mercadona 250g,Mercadona,63.0,24.22,1.79,0,,True,2021-10-20
2218,Producto Europa Carrefour pack 3,Carrefour,36.0,5.98,4.23,sí,8.0,True,2021-12-26
2219,Producto Considera Genérico 1L,Genérico,44.0,20.27,4.87,no,,True,2023-02-06
2220,Producto Yo Eroski 250g,Eroski,87.0,15.41,3.48,no,,False,2022-11-12
2221,Producto Grande Eroski 500ml,Eroski,43.0,23.07,0.95,0,,True,2024-03-08
2222,Producto Pocos Hacendado 1kg,Hacendado,60.0,18.64,0.5,no,,True,2020-06-01
2223,Producto Ni Auchan pack 3,Auchan,57.0,8.84,3.62,no,,True,2021-09-17
2224,Producto Humanos Genérico 500g,Genérico,81.0,22.13,3.78,1,3.0,True,2021-06-11
2225,Producto Mejores Auchan 12ud,Auchan,43.0,12.39,1.4,false,,True,2023-08-31
2226,Producto Estaba Dia 12ud,Dia,23.0,3.21,2.99,no,,True,2021-01-21
2227,Producto Tipo Hacendado 1L,Hacendado,48.0,10.17,0.09,false,,True,2020-10-22
2228,Producto Resto Mercadona 1kg,Mercadona,36.0,19.21,0.64,sí,10.0,True,2021-11-27
2229,Producto Mejor Carrefour 12ud,Carrefour,31.0,13.54,2.82,true,13.0,True,2021-10-17
2230,Producto He Auchan 250g,Auchan,18.0,11.18,0.44,no,,True,2021-03-08
2231,Producto Soy Genérico 12ud,Genérico,63.0,17.87,0.62,false,,False,2021-01-23
2232,Producto Aun Carrefour pack 3,Carrefour,50.0,20.87,0.49,false,,True,2023-12-05
2233,Producto Después Auchan 12ud,Auchan,40.0,13.33,1.59,False,,True,2021-11-19
2234,Producto Técnica Mercadona 1kg,Mercadona,51.0,2.36,2.68,FALSE,,True,2023-08-31
2235,Producto Marco Dia 1kg,Dia,53.0,6.28,1.03,sí,12.0,True,2022-05-04
2236,Producto Mundo Carrefour pack 3,Carrefour,18.0,11.86,2.92,no,,True,2020-03-19
2237,Producto Existencia Eroski 6ud,Eroski,81.0,21.66,0.8,0,,True,2022-04-19
2238,Producto Asociación Eroski 500ml,Eroski,65.0,20.0,1.79,0,,True,2020-01-23
2239,Producto Niveles Auchan 250g,Auchan,68.0,1.88,0.43,false,,True,2020-05-24
2240,Producto Martín Genérico 12ud,Genérico,20.0,11.83,3.97,FALSE,,True,2023-03-16
2241,Producto Comercio Mercadona 1L,Mercadona,66.0,8.37,0.8,0,,True,2021-01-02
2242,Producto Partido Mercadona 6ud,Mercadona,22.0,24.56,3.25,1,3.0,True,2021-09-23
2243,Producto Organización Auchan 1kg,Auchan,65.0,9.41,1.97,no,,True,2022-01-17
2244,Producto Estados Hacendado 6ud,Hacendado,85.0,2.1,3.41,sí,7.0,True,2023-09-05
2245,Producto Papel Mercadona 1kg,Mercadona,86.0,8.66,0.75,false,,True,2023-11-02
2246,Producto Así Carrefour 500g,Carrefour,59.0,8.07,3.97,0,,True,2020-09-12
2247,Producto Razón Hacendado 12ud,Hacendado,76.0,12.95,1.58,1,6.0,True,2020-01-04
2248,Producto Ciento Carrefour 1L,Carrefour,71.0,24.99,1.51,true,4.0,True,2021-02-15
2249,Producto Martín Mercadona 250g,Mercadona,78.0,16.71,3.11,False,,True,2023-05-03
2250,Producto Película Carrefour 1kg,Carrefour,28.0,20.86,4.05,no,,True,2021-12-07
2251,Producto Luis Hacendado 12ud,Hacendado,65.0,9.42,4.85,False,,True,2021-10-19
2252,Producto Quería Carrefour 1L,Carrefour,66.0,8.07,2.37,false,,True,2024-01-27
2253,Producto Deja Eroski pack 3,Eroski,56.0,11.8,1.94,TRUE,11.0,True,2024-03-26
2254,Producto Precio Mercadona 1L,Mercadona,29.0,20.12,1.29,true,13.0,True,2022-05-13
2255,Producto Viene Genérico 500g,Genérico,56.0,17.92,0.67,FALSE,,True,2023-01-21
2256,Producto Nuevas Dia pack 3,Dia,29.0,22.67,2.22,1,6.0,True,2020-08-28
2257,Producto Muchos Hacendado 12ud,Hacendado,53.0,1.79,1.22,false,,True,2021-04-05
2258,Producto Horas Carrefour 250g,Carrefour,56.0,8.3,3.59,1,8.0,True,2024-02-13
2259,Producto Todos Hacendado 500ml,Hacendado,26.0,22.97,4.16,FALSE,,True,2022-06-18
2260,Producto Texto Auchan 250g,Auchan,69.0,22.68,1.12,TRUE,5.0,True,2022-04-22
2261,Producto Ni Genérico 12ud,Genérico,86.0,3.21,1.54,TRUE,3.0,True,2023-03-07
2262,Producto Varios Auchan 500g,Auchan,88.0,3.21,3.0,FALSE,,False,2020-03-29
2263,Producto Porque Genérico 1L,Genérico,74.0,18.09,0.06,True,8.0,True,2022-06-26
2264,Producto Valor Carrefour 500g,Carrefour,62.0,13.32,4.77,FALSE,,True,2022-02-20
2265,Producto Semanas Genérico 250g,Genérico,73.0,10.06,3.2,0,,True,2023-08-17
2266,Producto Conjunto Eroski 250g,Eroski,,9.24,1.24,true,13.0,True,2020-09-01
2267,Producto Puede Eroski 6ud,Eroski,83.0,3.76,1.73,FALSE,,True,2024-02-01
2268,Producto Políticos Eroski pack 3,Eroski,68.0,15.97,0.36,0,,True,2020-05-04
2269,Producto Tribunal Hacendado 500ml,Hacendado,67.0,5.43,4.43,FALSE,,True,2020-10-15
2270,Producto Mismo Genérico 12ud,Genérico,48.0,24.72,1.3,False,,True,2022-07-13
2271,Producto Tiempo Dia 6ud,Dia,33.0,21.61,3.3,True,7.0,True,2022-11-14
2272,Producto Juicio Auchan 12ud,Auchan,56.0,18.7,1.96,no,,True,2020-12-31
2273,Producto Idea Eroski pack 3,Eroski,72.0,9.49,1.37,no,,True,2020-07-05
2274,Producto Peor Hacendado 12ud,Hacendado,63.0,15.25,2.75,FALSE,,True,2023-10-15
2275,Producto Experiencia Dia 500ml,Dia,19.0,8.0,2.16,0,,True,2021-01-17
2276,Producto Naturaleza Auchan 250g,Auchan,53.0,18.3,3.09,FALSE,,True,2022-07-12
2277,Producto Dos Hacendado 12ud,Hacendado,16.0,9.39,3.41,False,,True,2022-08-20
