producto_id,descuento_campana_pct,precio_promo,stock_reservado,fecha_inicio_promo,fecha_fin_promo
3791,12.0,2.4,750,2024-06-19,2024-08-15
2425,20.0,4.5,150,2024-06-30,2024-08-17
3798,20.0,13.68,500,2024-06-17,2024-08-28
2878,12.0,19.75,200,2024-06-18,2024-08-31
2283,10.0,15.17,150,2024-07-08,2024-08-30
3616,10.0,7.38,100,2024-06-25,2024-08-29
3664,20.0,9.26,200,2024-06-15,2024-08-30
2695,20.0,1.57,1000,2024-06-30,2024-08-31
2606,10.0,0.57,750,2024-07-05,2024-08-30
2672,5.0,18.61,1000,2024-06-29,2024-08-25
3348,10.0,2.88,200,2024-07-14,2024-08-15
2146,15.0,6.59,300,2024-06-17,2024-08-27
3454,25.0,18.66,200,2024-07-02,2024-08-16
3515,5.0,20.31,200,2024-06-20,2024-08-18
3056,10.0,9.62,100,2024-06-28,2024-08-19
2462,10.0,5.39,200,2024-06-21,2024-08-23
2997,25.0,6.25,200,2024-06-24,2024-08-23
3113,10.0,8.16,300,2024-07-03,2024-08-25
3063,20.0,14.82,100,2024-06-28,2024-08-22
2409,25.0,10.51,150,2024-07-14,2024-08-25
2344,10.0,21.05,200,2024-06-23,2024-08-20
2087,15.0,4.42,200,2024-07-01,2024-08-23
2420,12.0,17.59,150,2024-06-28,2024-08-21
3621,10.0,20.29,500,2024-07-04,2024-08-29
2719,12.0,15.45,200,2024-07-11,2024-08-16
2597,10.0,16.1,200,2024-06-17,2024-08-31
3306,10.0,5.84,100,2024-06-30,2024-08-21
2046,25.0,7.95,100,2024-07-03,2024-08-27
3737,15.0,20.16,300,2024-06-25,2024-08-27
2544,20.0,8.0,200,2024-07-09,2024-08-18
3258,5.0,21.06,100,2024-06-17,2024-08-20
3835,12.0,0.59,500,2024-07-03,2024-08-29
2216,5.0,16.06,200,2024-07-11,2024-08-25
2512,5.0,5.28,100,2024-07-12,2024-08-30
3097,20.0,6.95,300,2024-06-17,2024-08-30
3590,15.0,1.16,300,2024-06-22,2024-08-16
3574,12.0,12.22,200,2024-06-22,2024-08-21
3371,10.0,11.36,100,2024-06-17,2024-08-29
2949,15.0,19.34,200,2024-06-29,2024-08-19
2573,12.0,17.68,200,2024-07-07,2024-08-28
2946,15.0,0.94,300,2024-06-28,2024-08-17
2430,10.0,13.18,300,2024-06-15,2024-08-31
2789,12.0,15.95,500,2024-06-25,2024-08-30
2714,12.0,9.53,150,2024-06-19,2024-08-21
3104,10.0,19.97,200,2024-07-14,2024-08-16
2058,10.0,14.18,150,2024-06-29,2024-08-16
2250,20.0,16.69,100,2024-07-01,2024-08-17
2894,12.0,16.41,300,2024-07-12,2024-08-21
2205,15.0,18.29,200,2024-06-25,2024-08-19
2406,15.0,7.67,750,2024-07-14,2024-08-17
2390,12.0,4.08,200,2024-06-21,2024-08-24
2330,10.0,14.73,300,2024-06-23,2024-08-16
3292,12.0,11.63,200,2024-06-22,2024-08-17
2339,20.0,1.92,1000,2024-07-11,2024-08-16
2579,15.0,0.66,500,2024-07-03,2024-08-27
3325,15.0,6.11,150,2024-07-01,2024-08-26
3613,25.0,17.92,200,2024-06-18,2024-08-28
3085,10.0,16.45,100,2024-07-02,2024-08-15
2937,20.0,9.37,100,2024-06-20,2024-08-22
2891,25.0,13.59,200,2024-06-16,2024-08-16
2675,15.0,5.86,750,2024-06-24,2024-08-31
2821,20.0,4.06,300,2024-06-18,2024-08-21
3409,10.0,3.74,150,2024-06-20,2024-08-31
3768,10.0,6.9,300,2024-06-29,2024-08-28
2540,12.0,13.03,150,2024-06-20,2024-08-24
3255,20.0,7.74,200,2024-06-22,2024-08-19
2240,25.0,8.87,300,2024-06-30,2024-08-23
3541,20.0,1.44,1000,2024-07-09,2024-08-22
2885,10.0,11.81,750,2024-06-27,2024-08-27
3812,10.0,1.75,300,2024-06-20,2024-08-30
2404,12.0,10.04,200,2024-07-13,2024-08-19
2457,10.0,3.24,750,2024-07-01,2024-08-24
3799,25.0,6.23,200,2024-07-07,2024-08-30
2715,5.0,10.08,150,2024-06-24,2024-08-27
2346,10.0,8.72,300,2024-06-25,2024-08-26
3435,5.0,8.59,100,2024-07-08,2024-08-24
2667,15.0,20.5,300,2024-07-02,2024-08-15
3499,15.0,14.33,150,2024-06-20,2024-08-19
2208,5.0,12.41,500,2024-06-16,2024-08-30
2268,15.0,13.57,150,2024-06-29,2024-08-15
3531,20.0,13.34,500,2024-07-10,2024-08-18
3697,15.0,1.02,500,2024-06-21,2024-08-25
3592,15.0,10.74,300,2024-06-16,2024-08-21
2034,12.0,4.57,100,2024-07-14,2024-08-29
2495,10.0,1.75,300,2024-07-10,2024-08-20
3733,15.0,3.77,300,2024-06-24,2024-08-31
3176,15.0,1.61,500,2024-06-22,2024-08-31
2448,20.0,12.9,1000,2024-07-05,2024-08-15
3184,5.0,7.08,750,2024-06-15,2024-08-15
3023,5.0,8.91,200,2024-06-30,2024-08-18
2374,20.0,1.94,100,2024-06-26,2024-08-22
2724,12.0,4.72,1000,2024-07-02,2024-08-24
3560,25.0,6.31,200,2024-07-10,2024-08-15
2772,30.0,15.21,150,2024-06-28,2024-08-25
2054,12.0,8.32,200,2024-07-06,2024-08-16
3483,20.0,2.64,500,2024-06-27,2024-08-21
2632,25.0,2.83,200,2024-06-25,2024-08-15
2194,25.0,18.14,150,2024-06-30,2024-08-18
2263,25.0,13.57,300,2024-06-27,2024-08-28
2862,15.0,6.44,150,2024-07-04,2024-08-29
2607,12.0,17.11,150,2024-07-10,2024-08-15
2239,10.0,1.69,200,2024-06-18,2024-08-17
2279,15.0,14.56,150,2024-07-05,2024-08-26
3446,10.0,20.2,500,2024-06-23,2024-08-31
3466,20.0,11.6,150,2024-07-12,2024-08-24
3575,15.0,1.94,750,2024-06-15,2024-08-23
2756,5.0,7.56,1000,2024-07-06,2024-08-17
3357,10.0,1.29,150,2024-07-08,2024-08-23
2896,30.0,8.17,150,2024-07-03,2024-08-17
2044,5.0,11.61,300,2024-07-07,2024-08-20
3402,5.0,9.41,100,2024-06-28,2024-08-30
2281,25.0,17.15,200,2024-06-24,2024-08-22
2230,5.0,10.62,750,2024-06-25,2024-08-20
2141,12.0,15.95,750,2024-07-13,2024-08-25
3830,25.0,18.58,150,2024-07-09,2024-08-30
3492,10.0,9.27,300,2024-06-30,2024-08-31
2217,12.0,21.31,300,2024-07-11,2024-08-29
3264,10.0,19.75,200,2024-06-20,2024-08-26
3231,12.0,10.01,750,2024-06-19,2024-08-22
2625,15.0,16.0,150,2024-06-26,2024-08-18
3511,20.0,19.18,500,2024-06-22,2024-08-26
3077,5.0,5.34,300,2024-06-30,2024-08-26
2303,25.0,15.94,100,2024-06-23,2024-08-16
3706,25.0,14.1,500,2024-06-21,2024-08-17
3411,5.0,20.98,200,2024-07-12,2024-08-24
2901,12.0,2.17,500,2024-07-02,2024-08-24
3647,20.0,7.21,500,2024-06-24,2024-08-24
2150,15.0,17.31,300,2024-07-08,2024-08-25
2546,5.0,20.14,150,2024-06-27,2024-08-21
2486,5.0,3.66,150,2024-07-10,2024-08-24
3656,20.0,15.19,750,2024-07-11,2024-08-29
2785,10.0,16.14,500,2024-06-27,2024-08-26
3440,5.0,1.72,750,2024-07-14,2024-08-21
2284,12.0,15.78,150,2024-06-16,2024-08-30
3334,12.0,12.38,200,2024-06-15,2024-08-19
3805,25.0,7.18,150,2024-06-26,2024-08-16
3513,12.0,16.25,200,2024-06-28,2024-08-20
3065,5.0,2.56,150,2024-07-05,2024-08-16
2131,10.0,17.35,200,2024-06-27,2024-08-23
3465,15.0,2.36,200,2024-06-24,2024-08-22
2731,10.0,12.43,750,2024-06-24,2024-08-18
2085,12.0,4.62,150,2024-06-19,2024-08-25
2222,20.0,14.91,150,2024-06-17,2024-08-19
3735,30.0,8.95,200,2024-06-23,2024-08-27
2352,12.0,5.48,750,2024-06-27,2024-08-15
2818,30.0,13.79,300,2024-07-01,2024-08-19
2446,5.0,18.59,200,2024-06-16,2024-08-30
2886,10.0,0.51,200,2024-06-23,2024-08-16
3209,10.0,22.05,300,2024-06-17,2024-08-19
2107,20.0,10.33,150,2024-06-22,2024-08-26
3207,25.0,14.38,200,2024-07-11,2024-08-31
3301,25.0,14.19,200,2024-07-01,2024-08-28
2402,15.0,14.11,150,2024-07-13,2024-08-25
2060,25.0,2.66,100,2024-06-18,2024-08-15
2077,15.0,9.1,200,2024-06-17,2024-08-27
3386,20.0,12.22,200,2024-07-14,2024-08-31
3518,20.0,9.96,1000,2024-07-03,2024-08-31
3740,15.0,11.72,200,2024-06-16,2024-08-20
2853,15.0,3.21,150,2024-06-25,2024-08-15
2482,20.0,2.19,200,2024-06-22,2024-08-24
3193,20.0,11.78,150,2024-06-22,2024-08-31
3823,5.0,17.96,100,2024-07-08,2024-08-21
3345,12.0,3.1,200,2024-06-18,2024-08-21
3151,10.0,15.26,500,2024-06-19,2024-08-18
3585,20.0,9.78,200,2024-06-24,2024-08-16
3580,30.0,6.98,500,2024-06-27,2024-08-28
3116,10.0,5.17,300,2024-07-07,2024-08-27
2116,15.0,9.92,300,2024-06-23,2024-08-25
3230,10.0,15.8,150,2024-07-11,2024-08-29
3745,12.0,7.72,200,2024-06-23,2024-08-16
3282,20.0,2.9,750,2024-06-29,2024-08-18
3829,25.0,6.38,200,2024-06-17,2024-08-27
3312,15.0,1.75,500,2024-06-29,2024-08-30
3559,10.0,1.94,150,2024-06-16,2024-08-20
2324,15.0,8.89,100,2024-06-18,2024-08-18
2617,30.0,13.15,500,2024-06-20,2024-08-29
2936,20.0,8.46,500,2024-06-26,2024-08-31
2228,15.0,16.33,300,2024-06-25,2024-08-18
3224,10.0,11.6,150,2024-07-07,2024-08-21
3620,10.0,2.24,300,2024-06-30,2024-08-20
2187,20.0,11.49,200,2024-06-25,2024-08-28
2909,25.0,1.67,300,2024-06-25,2024-08-30
3618,20.0,15.8,500,2024-07-11,2024-08-19
